,Zipcode,Population,NumHouseholds,MedianIncome,AverageIncome,IncomeBracket
0,60601,14513,8046.0,109625.0,197328.0,$90k+
1,60602,1596,977.0,226276.0,352835.0,$90k+
2,60603,1186,644.0,140125.0,223495.0,$90k+
3,60604,729,437.0,58558.0,136690.0,$50k
4,60605,30950,16266.0,109194.0,153980.0,$90k+
5,60606,3204,2327.0,121982.0,177715.0,$90k+
6,60607,30306,13532.0,103173.0,133202.0,$90k+
7,60608,80011,26211.0,57183.0,75778.0,$50k
8,60609,60551,21967.0,40324.0,55404.0,$40k
9,60610,40954,24277.0,95994.0,153502.0,$90k+
10,60611,33937,21714.0,108413.0,176681.0,$90k+
11,60612,32240,13200.0,44538.0,79209.0,$40k
12,60613,51399,27281.0,84463.0,121532.0,$80k
13,60614,72391,33402.0,117251.0,191363.0,$90k+
14,60615,41198,21613.0,44658.0,74600.0,$40k
15,60616,52557,24470.0,61843.0,82845.0,$60k
16,60617,82101,29173.0,43642.0,60330.0,$40k
17,60618,94646,35951.0,85443.0,122386.0,$80k
18,60619,61372,27274.0,40762.0,54846.0,$40k
19,60620,68761,25454.0,39499.0,53450.0,$30k
20,60626,51017,23042.0,45632.0,63901.0,$40k
21,60628,65008,23073.0,44410.0,57793.0,$40k
22,60621,26736,10746.0,23019.0,35479.0,$20k
23,60622,52957,24297.0,106128.0,145243.0,$90k+
24,60623,77732,25746.0,34714.0,47811.0,$30k
25,60624,35054,12494.0,25648.0,39148.0,$20k
26,60625,78820,30163.0,73114.0,99924.0,$70k
27,60629,107930,31961.0,43372.0,61116.0,$40k
28,60630,55692,20868.0,78703.0,97355.0,$70k
29,60631,28864,11632.0,102936.0,126090.0,$90k+
30,60632,86715,25170.0,46937.0,61968.0,$40k
31,60633,12720,4862.0,52193.0,63662.0,$50k
32,60634,75604,26678.0,72507.0,88257.0,$70k
33,60636,30039,10979.0,26598.0,44093.0,$20k
34,60637,46621,20122.0,30149.0,65412.0,$30k
35,60638,57057,20226.0,68041.0,85405.0,$60k
36,60639,88515,25807.0,51810.0,71011.0,$50k
37,60640,69726,36011.0,59516.0,81931.0,$50k
38,60641,70163,24522.0,67599.0,89964.0,$60k
39,60642,20191,9739.0,120442.0,140724.0,$90k+
40,60643,48572,17601.0,69782.0,99256.0,$60k
41,60644,45919,17309.0,28033.0,44694.0,$20k
42,60645,46924,16123.0,62989.0,89454.0,$60k
43,60646,29043,10866.0,100670.0,141360.0,$90k+
44,60647,85658,36032.0,82433.0,118395.0,$80k
45,60649,47084,22334.0,36130.0,55901.0,$30k
46,60651,63679,19932.0,41107.0,57709.0,$40k
47,60652,42296,13093.0,71267.0,81932.0,$70k
48,60653,33574,15934.0,34621.0,63326.0,$30k
49,60654,20812,13181.0,128101.0,179014.0,$90k+
50,60655,27771,10386.0,99264.0,114333.0,$90k+
51,60656,28982,12523.0,68931.0,87104.0,$60k
52,60657,70489,36931.0,94722.0,146948.0,$90k+
53,60659,43843,13709.0,54807.0,76125.0,$50k
54,60660,45131,20623.0,53365.0,78948.0,$50k
55,60661,10734,6384.0,125365.0,148266.0,$90k+
56,60706,22804,8793.0,74713.0,89500.0,$70k
57,60827,28327,,34878.0,,$30k
58,60707,42434,,64790.0,,$60k
