BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location
Walker,11071 S. Hoyne Ave.,Chicago,60643,521,670,1255,613,964,948,1166,1146,1016,,,,8299,POINT (-87.67426 41.692473)
Albany Park,3401 W. Foster Ave.,Chicago,60625,3419,6208,8004,6925,7068,6394,7005,6848,7061,,,,58932,POINT (-87.713595 41.975693)
Avalon,8148 S. Stony Island Ave.,Chicago,60617,2985,4007,4777,5025,4666,4188,5093,4747,3630,,,,39118,POINT (-87.585869 41.746322)
Brainerd,1350 W. 89th St.,Chicago,60620,617,536,995,1088,1354,1147,1182,1215,1098,,,,9232,POINT (-87.657726 41.732282)
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,3528,4252,5458,3774,3080,4827,5100,5297,5014,,,,40330,POINT (-87.813329 41.978015)
Little Italy,1336 W. Taylor St.,Chicago,60607,2801,5665,8196,7564,7828,8215,7872,8699,8736,,,,65576,POINT (-87.660263 41.869359)
Edgebrook,5331 W. Devon Ave.,Chicago,60646,3693,4302,5447,5241,5187,6707,6437,6411,5317,,,,48742,POINT (-87.76204 41.997245)
Kelly,6151 S. Normal Blvd.,Chicago,60621,497,1461,2781,2587,2666,2834,2730,3343,2686,,,,21585,POINT (-87.637516 41.78199)
Edgewater,6000 N. Broadway St.,Chicago,60660,7563,3509,8040,9664,8411,8531,9696,9588,8944,,,,73946,POINT (-87.660306 41.990923)
Near North,310 W. Division St.,Chicago,60610,4771,5815,4707,0,0,0,0,7086,10148,,,,32527,POINT (-87.636643 41.903838)
Canaryville,642 W. 43rd St.,Chicago,60609,0,1427,1854,1894,33,0,736,1184,1038,,,,8166,POINT (-87.642569 41.81627)
"Daley, Richard J. -Bridgeport",3400 S. Halsted St.,Chicago,60608,2480,0,0,0,957,2086,2105,2049,1873,,,,11550,POINT (-87.646149 41.8327)
Manning,6 S. Hoyne Ave.,Chicago,60612,0,2701,3653,3924,4531,3858,3653,3680,2974,,,,28974,POINT (-87.679091 41.881026)
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,2301,3072,3987,3828,3466,5573,4058,4024,3335,,,,33644,POINT (-87.754876 41.938748)
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,1830,2462,3014,3406,3464,4946,3809,4064,4172,,,,31167,POINT (-87.61416 41.751132)
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,837,977,1447,1657,1838,1769,1437,1760,2375,,,,14097,POINT (-87.600377 41.762277)
Scottsdale,4101 W. 79th St.,Chicago,60652,1856,2867,3325,3356,3420,3392,3299,3403,3081,,,,27999,POINT (-87.724291 41.749388)
Altgeld,955 E. 131st St.,Chicago,60827,339,822,3378,3231,3217,3466,4771,4217,4146,,,,27587,POINT (-87.5989 41.657262)
West Lawn,4020 W. 63rd St.,Chicago,60629,1030,1345,2505,2815,2744,3798,4384,4067,3307,,,,25995,POINT (-87.723756 41.778629)
Back of the Yards,2111 W. 47th St.,Chicago,60609,1440,1689,2689,2942,2729,2933,2717,2943,2816,,,,22898,POINT (-87.677601 41.808523)
Rogers Park,6907 N. Clark St.,Chicago,60626,4179,7092,8908,8827,8728,8624,8696,8916,9226,,,,73196,POINT (-87.67344 42.006673)
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,2594,2929,4083,3782,3370,5176,6041,4817,4982,,,,37774,POINT (-87.780075 41.79286)
King,3436 S. King Dr.,Chicago,60616,1209,1080,1639,1607,1652,1959,1793,1656,1532,,,,14127,POINT (-87.617335 41.832238)
Water Works,163 E. Pearson Street,Chicago,60611,0,2774,4298,4501,4646,4801,5112,5035,4052,,,,35219,POINT (-87.623234 41.897609)
"Daley, Richard M. -W. Humboldt",733 N. Kedzie Ave.,Chicago,60612,6556,4072,3827,5137,5130,4408,4118,3433,3749,,,,40430,POINT (-87.706545 41.894322)
Humboldt Park,1605 N. Troy St.,Chicago,60647,2527,2725,3753,3867,4047,7297,4741,4958,3705,,,,37620,POINT (-87.705655 41.910536)
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,13873,15111,19899,18966,17119,14966,18748,19294,18776,,,,156752,POINT (-87.684637 41.962677)
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,3491,5724,7464,7252,7130,7061,6992,7065,7194,,,,59373,POINT (-87.590212 41.807619)
North Austin,5724 W. North Ave.,Chicago,60639,1072,1337,1895,1979,1598,1587,2002,1939,1627,,,,15036,POINT (-87.768877 41.909401)
West Town,1625 W. Chicago Ave.,Chicago,60622,3402,4726,5947,5530,4300,6246,6644,6767,5888,,,,49450,POINT (-87.668233 41.89606)
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,5058,5714,7070,6613,6087,6615,8904,7810,6659,,,,60530,POINT (-87.696439 41.983843)
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,4915,6552,8399,9454,9152,12512,10660,10414,8960,,,,81018,POINT (-87.658126 41.925316)
West Englewood,1745 W. 63rd St.,Chicago,60636,2038,2281,2754,2423,2872,3403,2924,4282,2708,,,,25685,POINT (-87.66821 41.779364)
Archer Heights,5055 S. Archer Ave.,Chicago,60632,2949,2360,3250,3169,2896,4950,3198,3390,3329,,,,29491,POINT (-87.726723 41.801206)
Hegewisch,3048 E. 130th St.,Chicago,60633,1165,1194,1552,1612,1411,1841,1858,796,162,,,,11591,POINT (-87.548914 41.659153)
Independence,4024 N. Elston Ave.,Chicago,60618,2412,2684,3171,3146,3002,5240,3752,3945,2903,,,,30255,POINT (-87.719889 41.954219)
Lozano,1805 S. Loomis St.,Chicago,60608,3634,2311,3021,3780,3664,2693,3995,4508,4097,,,,31703,POINT (-87.661298 41.857604)
South Shore,2505 E. 73rd St.,Chicago,60649,1066,1178,1575,1544,1801,1576,2059,2264,1864,,,,14927,POINT (-87.563672 41.762654)
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,2963,6955,11013,11999,13147,15962,16974,15109,13290,,,,107412,POINT (-87.631794 41.854267)
Douglass,3353 W. 13th St.,Chicago,60623,435,1100,1456,1586,2803,0,4316,3921,3733,,,,19350,POINT (-87.709767 41.864527)
