,Unnamed: 0,BRANCH,ADDRESS,ZIP,TotalSessions,Population,NumHouseholds,MedianIncome,AverageIncome,Location,TotalVisitors,SessionPopRate,SessionVisitRate,IncomeBracket,VisitPopRate
0,0,Walker,11071 S. Hoyne Ave.,60643,3307,48572.0,17601.0,69782.0,99256.0,"[-87.67426, 41.692473]",7283.0,0.0680844931236103,0.454071124536592,$60k,0.1499423536193692
1,1,Albany Park,3401 W. Foster Ave.,60625,8512,78820.0,30163.0,73114.0,99924.0,"[-87.713595, 41.975693]",51871.0,0.1079928952042628,0.1640994004356962,$70k,0.6580943922862218
2,2,Avalon,8148 S. Stony Island Ave.,60617,10731,82101.0,29173.0,43642.0,60330.0,"[-87.585869, 41.746322]",35488.0,0.1307048635217597,0.3023839044183949,$40k,0.4322480846761915
3,3,Brainerd,1350 W. 89th St.,60620,3694,68761.0,25454.0,39499.0,53450.0,"[-87.657726, 41.732282]",8134.0,0.0537223135207457,0.4541431030243422,$30k,0.11829380026468492
4,4,Oriole Park,7454 W. Balmoral Ave.,60656,5279,28982.0,12523.0,68931.0,87104.0,"[-87.813329, 41.978015]",35316.0,0.1821475398523221,0.1494789896930569,$60k,1.2185494444827825
5,5,Little Italy,1336 W. Taylor St.,60607,6160,30306.0,13532.0,103173.0,133202.0,"[-87.660263, 41.869359]",56840.0,0.2032600805121098,0.1083743842364532,$90k+,1.8755361974526497
6,6,Edgebrook,5331 W. Devon Ave.,60646,3262,29043.0,10866.0,100670.0,141360.0,"[-87.76204, 41.997245]",43425.0,0.1123162207760906,0.0751180195739781,$90k+,1.4951967771924388
7,7,Kelly,6151 S. Normal Blvd.,60621,4734,26736.0,10746.0,23019.0,35479.0,"[-87.637516, 41.78199]",18899.0,0.177064631956912,0.2504894438859198,$20k,0.7068746259724715
8,8,Edgewater,6000 N. Broadway St.,60660,16349,45131.0,20623.0,53365.0,78948.0,"[-87.660306, 41.990923]",65002.0,0.3622565420664288,0.2515153379896003,$50k,1.4402960271210477
9,9,Near North,310 W. Division St.,60610,3834,40954.0,24277.0,95994.0,153502.0,"[-87.636643, 41.903838]",22379.0,0.0936172290862919,0.1713213280307431,$90k+,0.5464423499536065
10,10,Canaryville,642 W. 43rd St.,60609,1294,60551.0,21967.0,40324.0,55404.0,"[-87.642569, 41.81627]",7128.0,0.0213704150220475,0.1815375982042648,$40k,0.1177189476639527
11,11,"Daley, Richard J. -Bridgeport",3400 S. Halsted St.,60608,2445,80011.0,26211.0,57183.0,75778.0,"[-87.646149, 41.8327]",9677.0,0.0305582982339928,0.2526609486411078,$50k,0.12094586994288285
12,12,Manning,6 S. Hoyne Ave.,60612,5589,32240.0,13200.0,44538.0,79209.0,"[-87.679091, 41.881026]",26000.0,0.1733560794044665,0.2149615384615384,$40k,0.8064516129032258
13,13,Portage-Cragin,5108 W. Belmont Ave.,60641,7052,70163.0,24522.0,67599.0,89964.0,"[-87.754876, 41.938748]",30309.0,0.1005088151874919,0.2326701639776963,$60k,0.43197981842281546
14,14,"Whitney M. Young, Jr.",415 East 79th St.,60619,12332,61372.0,27274.0,40762.0,54846.0,"[-87.61416, 41.751132]",26995.0,0.2009385387473115,0.4568253380255603,$40k,0.43985856742488433
15,15,Greater Grand Crossing,1000 E. 73rd St.,60619,5668,61372.0,27274.0,40762.0,54846.0,"[-87.600377, 41.762277]",11722.0,0.0923548197875252,0.4835352328954103,$40k,0.19099915270807535
16,16,Scottsdale,4101 W. 79th St.,60652,4481,42296.0,13093.0,71267.0,81932.0,"[-87.724291, 41.749388]",24918.0,0.1059438244751276,0.1798298418813708,$70k,0.5891337242292415
17,17,Altgeld,955 E. 131st St.,60827,7162,28327.0,,34878.0,,"[-87.5989, 41.657262]",23441.0,0.25283298619,0.3055330403993003,$30k,0.8275143855685388
18,18,West Lawn,4020 W. 63rd St.,60629,3454,107930.0,31961.0,43372.0,61116.0,"[-87.723756, 41.778629]",22688.0,0.0320022236634855,0.1522390691114245,$40k,0.21021032150467897
19,19,Back of the Yards,2111 W. 47th St.,60609,3824,60551.0,21967.0,40324.0,55404.0,"[-87.677601, 41.808523]",20082.0,0.0631533748410431,0.1904192809481127,$40k,0.3316543079387624
20,20,Rogers Park,6907 N. Clark St.,60626,11281,51017.0,23042.0,45632.0,63901.0,"[-87.67344, 42.006673]",63970.0,0.2211223709743811,0.1763482882601219,$40k,1.2538957602367837
21,21,Garfield Ridge,6348 S. Archer Ave.,60638,4319,57057.0,20226.0,68041.0,85405.0,"[-87.780075, 41.79286]",32792.0,0.0756962335909704,0.1317089534032691,$60k,0.5747235220919431
22,22,King,3436 S. King Dr.,60616,8753,52557.0,24470.0,61843.0,82845.0,"[-87.617335, 41.832238]",12595.0,0.1665429914188405,0.694958316792378,$60k,0.2396445763647088
23,23,Water Works,163 E. Pearson Street,60611,1188,33937.0,21714.0,108413.0,176681.0,"[-87.623234, 41.897609]",31167.0,0.0350060406046497,0.038117239387814,$90k+,0.9183781713174411
24,24,"Daley, Richard M. -W. Humboldt",733 N. Kedzie Ave.,60612,7781,32240.0,13200.0,44538.0,79209.0,"[-87.706545, 41.894322]",36681.0,0.2413461538461538,0.2121261688612633,$40k,1.1377481389578163
25,25,Humboldt Park,1605 N. Troy St.,60647,6464,85658.0,36032.0,82433.0,118395.0,"[-87.705655, 41.910536]",33915.0,0.075462887295991,0.190594132389798,$80k,0.39593499731490345
26,26,Sulzer Regional Library,4455 N. Lincoln Ave.,60625,21608,78820.0,30163.0,73114.0,99924.0,"[-87.684637, 41.962677]",137976.0,0.2741436183709718,0.1566069461355598,$70k,1.7505201725450392
27,27,Blackstone,4904 S. Lake Park Ave.,60615,8204,41198.0,21613.0,44658.0,74600.0,"[-87.590212, 41.807619]",52179.0,0.1991358803825428,0.157228003602982,$40k,1.2665420651487935
28,28,North Austin,5724 W. North Ave.,60639,4865,88515.0,25807.0,51810.0,71011.0,"[-87.768877, 41.909401]",13409.0,0.0549624357453538,0.3628160190916548,$50k,0.15148844828560132
29,29,West Town,1625 W. Chicago Ave.,60622,6559,52957.0,24297.0,106128.0,145243.0,"[-87.668233, 41.89606]",43562.0,0.1238552032781313,0.1505670079427023,$90k+,0.8225919141945351
